cata,name,test,,,,,,,,,,,,,,,,,,,,,,,
Model Training and Validation,Model Validation,"Internal vs. external vs. cross validation, validation metrics",Content,Yes,Y,P,Y,Y,N,N,P,P,P,P,Y,Y,N,P,Y,Y,Y,Y,Y,P,P
Model Training and Validation,Model Interpretability,Statement on model interpretability,"Content, Quality",Yes,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,N,Y
Model Training and Validation,Model Performance and Interpretation,"Outcome metrics, confidence intervals",Content,Yes,Y,Y,Y,Y,P,P,Y,Y,Y,P,P,Y,P,N,Y,Y,Y,N,Y,P,P
Model Training and Validation,Computational Cost,"Model execution time, floating point operations per second",Content,Yes,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N
Model Training and Validation,Statistical Methods,Appropriate methods and significance levels for performance comparison of baseline and proposed model,Quality,Partially,Y,P,Y,N,N,N,N,N,Y,Y,N,Y,N,N,P,Y,P,N,Y,N,Y
Model Training and Validation,Performance Errors,Identification and analysis of errors,"Content, Quality",Yes,Y,P,Y,N,Y,Y,P,Y,Y,N,P,N,P,N,P,Y,N,N,N,N,P
Model Training and Validation,Over-/Underfitting,Assessment of the possibility of over-/underfitting (i.e. by reporting indicators such as train vs. test error),Quality,Yes,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,P,N,N,N,N,N,N
Critical Appraisal,Clinical Implications and Practical Value,"Potential augmentations of clinical workflows, potential changes in clinical decision making",Content,Partially,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,Y,N
Critical Appraisal,Translation,Details on integration into clinical workflow,Content,Partially,N,Y,Y,N,N,N,N,Y,Y,N,N,N,P,N,N,Y,N,N,Y,Y,N
Critical Appraisal,Limitations,"Bias, generalizability, interpretation pitfalls",Content,Partially,Y,Y,Y,Y,P,P,P,Y,Y,N,Y,N,P,N,N,Y,N,N,P,N,Y
Ethics and Reproducibility,Data Publication,Publication of datasets or inclusion of a statement on public availability,Content,Partially,N,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,N,Y,N,Y
Ethics and Reproducibility,Code Publication,Publication of code or inclusion of a statement on public availability,Content,Yes,N,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,P,N,N,Y
Ethics and Reproducibility,AI Intervention Publication,Publication of AI Intervention or inclusion of a statement on public availability,Content,Yes,P,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N
Ethics and Reproducibility,Future Updates,Details on future software/algorithm updates (i.e. how users will be informed),Content,Partially,P,N,P,N,N,N,N,P,P,N,N,N,P,N,N,N,P,N,Y,Y,N
Ethics and Reproducibility,Ethical Statement,Details on IRB approval and informed consent procedure,Content,No,Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N
Ethics and Reproducibility,Equity and Access,"Statement on equity, diversity and access to AI application","Content, Quality",Yes,N,N,N,N,N,N,N,P,P,N,N,N,Y,N,N,N,N,N,N,N,N
Ethics and Reproducibility,Legal and regulatory Aspects,Statement on legal and regulatory aspects,Content,Partially,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N
